기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2017-당기순이익,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익
00447760,1,1,049950,미래컴퍼니,141860587930.0,103364112244.0,53889218728.0,103780000000.0,36840000000.0,19750000000.0,38500000000.0,2019-12-02,267945232800.0,32900.0,32900.0,0.3798744916705915,2.5922462543623643,2.8170466883821934,0.2436318769990074,13.566847230379746,27480000000.0,6490000000.0,3220000000.0,-6520000000.0,-1870000000.0
00447928,1,1,085910,네오티스,86639874645.0,44553302966.0,10057097455.0,37410000000.0,33189999999.0,3180000000.0,42090000000.0,2019-12-02,43944575220.0,3990.0,3990.0,0.11607931678350364,0.9863370905078679,1.1271467309770156,-0.1064977867363716,13.819048811320755,-7270000000.0,-1560000000.0,-4380000000.0,2580000000.0,2230000000.0
00449254,1,1,099320,쎄트렉아이,77675670199.0,58484929662.0,10078065041.0,28839999999.0,16750000000.0,5070000000.0,19190000000.0,2019-12-02,133376736450.0,18350.0,18350.0,0.12974545330836096,2.2805317065579067,1.721791044716418,0.07235144790499183,26.307048609467454,6120000000.0,3450000000.0,3790000000.0,2570000000.0,3170000000.0
00449379,1,1,067990,도이치모터스,595741288533.0,200893883027.0,113424995437.0,259980000000.0,227900000000.0,34670000000.0,394850000000.0,2019-12-02,210280087500.0,7500.0,7500.0,0.19039304077161848,1.0467222014506958,1.1407634927599823,-0.6413826511271544,6.065188563599654,5420000000.0,620000000.0,5780000000.0,1900000000.0,560000000.0
00450010,1,1,308170,센트랄모텍,236540000000.0,80800000000.0,28800000000.0,67140000000.0,91380000000.0,4470000000.0,155740000000.0,2019-12-02,127680000000.0,15200.0,15200.0,0.12175530565654857,1.5801980198019803,0.7347340774786605,-0.693922305764411,28.563758389261746,6520000000.0,3600000000.0,2400000000.0,4560000000.0,4890000000.0
00450339,1,1,112240,에스에프씨,106630000000.0,64879999999.0,-490000000.0,60170000000.0,39790000000.0,-28760000000.0,41750000000.0,2019-12-02,,,,-0.004595329644565319,,1.5121889922090979,,,-13969999999.0,1860000000.0,1340000000.0,2320000000.0,5410000000.0
00450995,1,1,317850,대모,59050000000.0,33639999999.0,13810000000.0,30839999999.0,17940000000.0,3120000000.0,25410000000.0,2019-12-02,65013720200.0,7810.0,7810.0,0.23386960203217613,1.9326313972037048,1.7190635450947602,0.08352083194586979,20.83773083333333,2260000000.0,2890000000.0,2950000000.0,3429999999.0,4140000000.0
00453488,1,1,145210,세화아이엠씨,172063702217.0,28109264003.0,6346914256.0,69960000000.0,129780000000.0,-43970000000.0,143950000000.0,2019-12-02,,,,0.0368870027450387,,0.5390661118816459,,,-84210000000.0,-24060000000.0,1360000000.0,19800000000.0,13980000000.0
00453929,1,1,078160,메디포스트,175753119554.0,126803683841.0,28364938020.0,57029999999.0,21290000000.0,-2010000000.0,48950000000.0,2019-12-02,538034656900.0,34450.0,34450.0,0.1613908082654823,4.243052256862232,2.678722404837952,0.015017619953247291,-267.67893378109454,-1090000000.0,-9440000000.0,3490000000.0,-350000000.0,1820000000.0
00454399,1,1,080010,이상네트웍스,137256717070.0,89951162824.0,17374519723.0,44380000000.0,20170000000.0,6360000000.0,47310000000.0,2019-12-02,65268600000.0,7240.0,7240.0,0.1265841125585068,0.7256004030509942,2.2002974714923154,-0.04489141792531171,10.262358490566038,5600000000.0,4029999999.0,1820000000.0,2850000000.0,2280000000.0
00454937,1,1,090410,덕신하우징,117771911935.0,72089465872.0,22672431853.0,61370000000.0,34330000000.0,8570000000.0,45680000000.0,2019-12-02,49874700000.0,1245.0,1245.0,0.19251136778278033,0.6918444934597808,1.7876492863384794,0.3145883584262161,5.819684947491249,6260000000.0,-12550000000.0,2530000000.0,6970000000.0,11720000000.0
00455112,1,1,045890,GV,102612701493.0,49827297402.0,2787501795.0,44560000000.0,39740000000.0,-6640000000.0,52790000000.0,2019-12-02,112828301900.0,2950.0,2950.0,0.027165270521507096,2.264387349562957,1.1212883744338198,-0.07294269134081509,-16.992214141566265,-1939999999.0,2650000000.0,3410000000.0,-2000000000.0,60000000.0
00455981,1,1,080000,에스엔유,136476918250.0,107738572380.0,24512267068.0,89500000000.0,15910000000.0,9830000000.0,28739999999.0,2019-12-02,84777488900.0,2470.0,2470.0,0.17960741920548165,0.7868814949671417,5.625392834695161,0.7166996898512761,8.624363062054934,5750000000.0,-18140000000.0,1810000000.0,-12950000000.0,8080000000.0
