기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,증자
00305570,1,1,043710,서울리거,17408319015.0,14204889042.0,2523014993.0,11290000000.0,3070000000.0,-5980000000.0,3200000000.0,720000000.0,-5840000000.0,2016-08-01,,,,0.14493156925869904,,3.6775244299674266,,,-7300000000.0,-11530000000.0,1360000000.0,-869999999.0,-8450000000.0,0
00305668,1,1,075180,새론오토모티브,245988030409.0,197776710493.0,43316553970.0,149570000000.0,33089999999.0,24780000000.0,48210000000.0,202730000000.0,34580000000.0,2016-08-01,154368000000.0,8040.0,8040.0,0.1760921208157093,0.780516571517472,4.520096706090061,0.6566127694859039,6.22953995157385,15430000000.0,13230000000.0,8030000000.0,9850000000.0,11190000000.0,0
00306162,1,1,038540,상상인,763416472034.0,152556099248.0,45577404686.0,526860000000.0,524989999999.0,31610000000.0,610860000000.0,171440000000.0,-173260000000.0,2016-08-01,247061105280.0,5280.0,5280.0,0.059701887967607455,1.6194770743211628,1.0035619726109137,-0.33999685990557227,7.81591601645049,6780000000.0,5990000000.0,7400000000.0,5050000000.0,2650000000.0,0
00306454,1,1,053300,한국정보인증,65783224611.0,48249148096.0,32410000000.0,42760000000.0,17069999999.0,4990000000.0,17530000000.0,32410000000.0,8459999999.0,2016-08-01,219495100000.0,8140.0,8140.0,0.492678797545302,4.549201564414705,2.5049794963388976,0.11494561837599108,43.98699398797595,3729999999.0,4020000000.0,4010000000.0,3570000000.0,2950000000.0,0
00306719,1,1,069510,에스텍,177230000000.0,111940000000.0,44110000000.0,139610000000.0,61910000000.0,14180000000.0,65290000000.0,270210000000.0,18740000000.0,2016-08-01,102335800000.0,9380.0,9380.0,0.2488856288438752,0.9142022512060032,2.2550476498142467,0.7262365662847214,7.216911142454161,10280000000.0,11320000000.0,9050000000.0,13290000000.0,22370000000.0,0
00306870,1,1,066910,손오공,69775982808.0,29631418192.0,31080169993.0,48270000000.0,30339999999.0,9300000000.0,40140000000.0,125090000000.0,12010000000.0,2016-08-01,131158004390.0,5990.0,5990.0,0.4454279071714713,4.426315458144711,1.590969017850724,0.06198630451730069,14.103011224731183,-2740000000.0,-10970000000.0,-4930000000.0,1220000000.0,-28270000000.0,0
00307189,1,1,057500,SKC 솔믹스,209403626732.0,19836006310.0,11863704450.0,60120000000.0,117850000000.0,-41100000000.0,189570000000.0,86790000000.0,27139999999.0,2016-08-01,100858489060.0,2230.0,2230.0,0.05665472291548926,5.084616705790915,0.5101400084853628,-1.2834814521461957,-2.453977836009732,-13150000000.0,-31810000000.0,-39000000000.0,-6820000000.0,6790000000.0,0
00307222,1,1,057030,YBM넷,100037239862.0,58427092661.0,28034112052.0,47100000000.0,28200000000.0,150000000.0,41610000000.0,66829999999.0,4160000000.0,2016-08-01,66555803760.0,4080.0,4080.0,0.28023676073702825,1.1391257159784351,1.6702127659574468,0.08248717151395123,443.7053584,1120000000.0,3590000000.0,3410000000.0,6200000000.0,6480000000.0,0
00308559,1,1,080530,코디,61650000000.0,38270000000.0,990000000.0,24630000000.0,17150000000.0,-4029999999.0,23380000000.0,8290000000.0,70000000.0,2016-08-01,78685905600.0,5400.0,5400.0,0.016058394160583942,2.0560727880846614,1.4361516034985422,0.015885945398587367,-19.52503861526676,-1280000000.0,509999999.0,-4240000000.0,3350000000.0,6430000000.0,0
00308896,1,1,068940,아이씨케이,39440000000.0,28980000000.0,5680000000.0,26630000000.0,8470000000.0,630000000.0,10460000000.0,29930000000.0,-2880000000.0,2016-08-01,63232477230.0,5070.0,5070.0,0.1440162271805274,2.1819350320910975,3.144037780401417,0.25572301937790143,100.36901147619048,-1650000000.0,450000000.0,5350000000.0,6110000000.0,3729999999.0,0
