기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,PSR,PCR,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익,증자
00106641,1,1,000270,기아자동차,19461000000000.0,4542200000000.0,3817960000000.0,8369700000000.0,10420750000000.0,-172390000000.0,14918800000000.0,20312000000000.0,-967490000000.0,2008-08-01,4305657642000.0,12400.0,12400.0,0.19618519089460973,0.9479233943903835,0.8031763548688914,-1.5210452257318605,-24.976261047624572,0.21197605563213864,-4.450338134761083,39340000000.0,680900000000.0,662030000000.0,752860000000.0,680410000000.0,0
00106881,1,1,014990,인디에프,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17420000000.0,2008-08-01,177762228000.0,2030.0,2030.0,,inf,,0.0,inf,inf,10.204490700344431,15480000000.0,11080000000.0,10810000000.0,20130000000.0,43150000000.0,0
00107613,1,1,007660,이수페타시스,223990000000.0,91660000000.0,16419999999.0,113100000000.0,112170000000.0,-700000000.0,132330000000.0,212000000000.0,1530000000.0,2008-08-01,48665494890.0,1530.0,1530.0,0.07330684405107371,0.5309349213397337,1.0082909868948917,-0.3951465004818325,-69.52213555714286,0.2295542211792453,31.807513,-4060000000.0,2380000000.0,6700000000.0,1050000000.0,4520000000.0,0
00107677,1,1,002070,남영비비안,136420000000.0,108320000000.0,80900000000.0,78740000000.0,19840000000.0,8890000000.0,28100000000.0,155420000000.0,14630000000.0,2008-08-01,65520195300.0,47700.0,47700.0,0.5930215510922152,0.6048762490768095,3.96875,0.7728914690826632,7.370100708661417,0.4215686224424141,4.478482248803828,4810000000.0,-11210000000.0,1100000000.0,12190000000.0,10600000000.0,0
00108001,1,1,091590,남화토건,146260000000.0,97620000000.0,25490000000.0,49190000000.0,43520000000.0,10790000000.0,48640000000.0,102759999999.0,16819999999.0,2008-08-01,,,,0.17427868179953507,,1.1302849264705883,,,,,6570000000.0,5360000000.0,6640000000.0,5220000000.0,4910000000.0,0
00108065,1,1,015540,쎌마테라퓨틱스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10030000000.0,2008-08-01,41077226575.0,515.0,515.0,,inf,,0.0,inf,inf,-4.095436348454636,-39960000000.0,-10850000000.0,-12710000000.0,-3760000000.0,114570000000.0,1
00108135,1,1,005250,녹십자홀딩스,2431620000000.0,351080000000.0,203600000000.0,722750000000.0,340020000000.0,41040000000.0,2080550000000.0,1132920000000.0,262769999999.0,2008-08-01,353622868000.0,82000.0,82000.0,0.08373018810504931,1.0072429873533097,2.125610258220105,-3.839683806874164,8.616541617933724,0.31213401475832364,1.3457505346932517,4970000000.0,2170000000.0,5380000000.0,5230000000.0,9360000000.0,0
00108241,1,1,004370,농심,1587150000000.0,1025100000000.0,476689999999.0,583110000000.0,492950000000.0,103390000000.0,562060000000.0,1561680000000.0,165160000000.0,2008-08-01,1399007660000.0,230000.0,230000.0,0.30034338279242667,1.364752375378012,1.182898874125165,0.01504637937436311,13.531363381371506,0.895835036627222,8.470620368127877,112859999999.0,118670000000.0,130640000000.0,101630000000.0,80060000000.0,0
00108490,1,1,048830,엔피케이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610000000.0,2008-08-01,9613247700.0,1050.0,1050.0,,inf,,0.0,inf,inf,2.6629495013850417,1650000000.0,1850000000.0,1739999999.0,1080000000.0,900000000.0,0
00108746,1,1,015590,큐로,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7470000000.0,2008-08-01,206095685850.0,3765.0,3765.0,,inf,,0.0,inf,inf,-27.58978391566265,8309999999.0,-64479999999.0,1480000000.0,-2390000000.0,-4750000000.0,0
00108913,1,1,019680,대교,917620000000.0,659540000000.0,238119999999.0,240960000000.0,152660000000.0,46310000000.0,258080000000.0,905379999999.0,94450000000.0,2008-08-01,513299271000.0,60600.0,60600.0,0.2594973954349295,0.7782685978105952,1.57840953753439,-0.03335286248633694,11.083983394515224,0.5669434613096898,5.434613774483854,51450000000.0,60650000000.0,65100000000.0,60979999999.0,27539999999.0,0
00108940,1,1,016710,대성홀딩스,580600000000.0,204110000000.0,95040000000.0,171840000000.0,225190000000.0,11480000000.0,376500000000.0,600190000000.0,25110000000.0,2008-08-01,108301050000.0,6750.0,6750.0,0.16369273165690665,0.5306013914065945,0.7630889471113282,-1.8897323710157934,9.4338893728223,0.1804446092070844,4.313064516129033,8870000000.0,15630000000.0,2170000000.0,4730000000.0,6459999999.0,0
00108977,1,1,006370,대구백화점,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25620000000.0,2008-08-01,129859332000.0,12000.0,12000.0,,inf,,0.0,inf,inf,5.068670257611241,15569999999.0,10240000000.0,-3840000000.0,26530000000.0,41360000000.0,0
00109170,1,1,004130,대덕GDS,321250000000.0,279890000000.0,21010000000.0,205519999999.0,34730000000.0,15530000000.0,41350000000.0,273940000000.0,31070000000.0,2008-08-01,143564924560.0,7120.0,7120.0,0.06540077821011674,0.5129333829718818,5.917650446271235,1.143524440263879,9.244360886027044,0.5240743394903994,4.620692776311555,12460000000.0,18620000000.0,20160000000.0,17540000000.0,25010000000.0,0
00109189,1,1,008060,대덕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500000000.0,2008-08-01,169323161000.0,3470.0,3470.0,,inf,,0.0,inf,inf,5.7397681694915255,4070000000.0,32960000000.0,33010000000.0,23070000000.0,30660000000.0,0
00109286,1,1,000490,대동공업,346820000000.0,149850000000.0,92860000000.0,174760000000.0,129830000000.0,-4850000000.0,196970000000.0,448120000000.0,22160000000.0,2008-08-01,84946991800.0,17900.0,17900.0,0.2677469580762355,0.5668801588254921,1.3460679349919125,-0.26145716910483935,-17.514843670103094,0.18956304516647327,3.8333480054151625,1870000000.0,5020000000.0,4240000000.0,2910000000.0,-2380000000.0,0
00109453,1,1,067250,STX조선해양,6282000000000.0,1943640000000.0,794540000000.0,2732460000000.0,2212230000000.0,423880000000.0,4338350000000.0,7579030000000.0,1715000000000.0,2008-08-01,2059200000000.0,28600.0,28600.0,0.12647882839859917,1.059455454713836,1.2351609009913074,-0.7798611111111111,4.857978673209399,0.27169703774757453,1.2006997084548106,41180000000.0,-6080000000.0,21020000000.0,41180000000.0,43680000000.0,0
00109648,1,1,016160,오라바이오틱스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2039999999.0,2008-08-01,21137924440.0,680.0,680.0,,inf,,0.0,inf,inf,-10.361727671745944,,,,,,0
00109693,1,1,000210,대림산업,6868810000000.0,3196340000000.0,1033260000000.0,4310969999999.0,2498340000000.0,502789999999.0,3672469999999.0,6755280000000.0,72670000000.0,2008-08-01,2933640000000.0,84300.0,84300.0,0.1504278033604074,0.9178122477583737,1.72553375441253,0.21764770046767837,5.834722249857465,0.43427363484563186,40.36934085592404,253560000000.0,342910000000.0,415500000000.0,218340000000.0,121700000000.0,0
00109754,1,1,005750,대림비앤코,132340000000.0,62210000000.0,15860000000.0,82190000000.0,54150000000.0,4640000000.0,70120000000.0,108890000000.0,9680000000.0,2008-08-01,33450000000.0,2230.0,2230.0,0.11984282907662082,0.5376949043562128,1.517820867959372,0.3608370702541106,7.209051724137931,0.30719074295160254,3.455578512396694,2210000000.0,4690000000.0,1830000000.0,3310000000.0,8409999999.0,0
00109824,1,1,006570,대림통상,179710000000.0,119130000000.0,25380000000.0,105700000000.0,39950000000.0,12520000000.0,60579999999.0,176110000000.0,-1880000000.0,2008-08-01,70491750000.0,4630.0,4630.0,0.14122753324801068,0.5917212289095946,2.6458072590738424,0.6400749023963798,5.630331469648563,0.4002711373573335,-37.49561170212766,-5120000000.0,2220000000.0,20950000000.0,600000000.0,6770000000.0,0
00110431,1,1,067290,JW신약,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2960000000.0,2008-08-01,58382110800.0,5400.0,5400.0,,inf,,0.0,inf,inf,19.72368608108108,-1789999999.0,270000000.0,-2330000000.0,1270000000.0,1210000000.0,0
00110495,1,1,005620,대성합동지주,1320180000000.0,575210000000.0,210100000000.0,430570000000.0,332530000000.0,50060000000.0,744970000000.0,1176810000000.0,78110000000.0,2008-08-01,556833935000.0,108500.0,108500.0,0.1591449650805193,0.9680532935797361,1.2948305416052688,-0.5646207607659544,11.123330703156213,0.47317233453148766,7.128843105876328,36180000000.0,31810000000.0,21580000000.0,22870000000.0,29150000000.0,0
00110583,1,1,025440,대성엘텍,152410000000.0,40220000000.0,23860000000.0,80560000000.0,107409999999.0,2580000000.0,112200000000.0,381900000000.0,10600000000.0,2008-08-01,20479949520.0,1140.0,1140.0,0.15655140738796666,0.5091981481849825,0.7500232753072342,-1.5449256830004139,7.937964930232559,0.053626471641791046,1.9320707094339622,1030000000.0,6850000000.0,4070000000.0,910000000.0,2030000000.0,0
00110884,1,1,032790,엠젠플러스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000000.0,2008-08-01,26708554500.0,1725.0,1725.0,,inf,,0.0,inf,inf,35.611406,1560000000.0,730000000.0,3260000000.0,-9230000000.0,-3640000000.0,0
00110893,1,1,003540,대신증권,0.0,0.0,0.0,0.0,0.0,102090000000.0,0.0,0.0,-438820000000.0,2008-08-01,1018006670000.0,20050.0,20050.0,,inf,,0.0,9.9716590263493,inf,-2.3198730003190375,157380000000.0,41230000000.0,73830000000.0,42050000000.0,13430000000.0,0
00111111,1,1,009190,대양금속,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28080000000.0,2008-08-01,89757780000.0,3290.0,3290.0,,inf,,0.0,inf,inf,-3.196502136752137,8309999999.0,5010000000.0,10510000000.0,1320000000.0,-10150000000.0,0
00111227,1,1,006580,대양제지,93190000000.0,30480000000.0,14130000000.0,26260000000.0,49790000000.0,2440000000.0,62710000000.0,98840000000.0,8920000000.0,2008-08-01,21157800000.0,7880.0,7880.0,0.1516257109131881,0.6941535433070866,0.5274151436031331,-1.7227689079204833,8.67122950819672,0.21406110886280857,2.37195067264574,4640000000.0,-3500000000.0,560000000.0,-1440000000.0,4029999999.0,0
00111689,1,1,009320,대우부품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30000000.0,2008-08-01,50858563000.0,350.0,350.0,,inf,,0.0,inf,inf,-1695.2854333333332,-46300000000.0,-36270000000.0,-27420000000.0,760000000.0,1019999999.0,1
00111704,1,1,042660,대우조선해양,9543540000000.0,1733309999999.0,597270000000.0,6518830000000.0,6860839999999.0,279480000000.0,7810239999999.0,7844150000000.0,1942859999999.0,2008-08-01,7875729691700.0,41150.0,41150.0,0.06258369535832616,4.543751372636484,0.950150418899282,-0.1639733777760274,28.17994021647345,1.0040258908485942,4.05367843884997,58720000000.0,7590000000.0,241840000000.0,254230000000.0,259219999999.0,0
00111722,1,1,006800,미래에셋대우,0.0,0.0,0.0,0.0,0.0,444739999999.0,0.0,0.0,-611910000000.0,2008-08-01,3383795859800.0,17800.0,17800.0,,inf,,0.0,7.608481044672412,inf,-5.529891421614289,410420000000.0,-148940000000.0,132520000000.0,-60400000000.0,51429999999.0,0
00111810,1,1,003090,대웅,452460000000.0,294160000000.0,246130000000.0,263700000000.0,141070000000.0,55029999999.0,158290000000.0,500880000000.0,52240000000.0,2008-08-01,187993091100.0,29850.0,29850.0,0.5439817884453875,0.6390844815746533,1.8692847522506557,0.5607120952329508,3.4161928239763073,0.37532560912793483,3.5986426320826954,12140000000.0,9650000000.0,7509999999.0,11970000000.0,28989999999.0,0
00111838,1,1,007680,대원,248610000000.0,148680000000.0,46550000000.0,190220000000.0,54640000000.0,20910000000.0,99930000000.0,222169999999.0,-450000000.0,2008-08-01,,,,0.18724106029524154,,3.481332357247438,,,,,21610000000.0,22350000000.0,15960000000.0,10340000000.0,9550000000.0,0
00111847,1,1,000430,대원강업,405780000000.0,180830000000.0,56260000000.0,125300000000.0,173990000000.0,10980000000.0,224960000000.0,604590000000.0,54020000000.0,2008-08-01,105000000000.0,1750.0,1750.0,0.13864655724776973,0.5806558646242327,0.7201563308236105,-0.9491428571428572,9.562841530054644,0.1736714136853074,1.9437245464642725,8540000000.0,9570000000.0,20600000000.0,19530000000.0,14760000000.0,0
00111865,1,1,028040,미래SCI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9080000000.0,2008-08-01,19001853545.0,515.0,515.0,,inf,,0.0,inf,inf,2.0927151481277533,-6409999999.0,-5620000000.0,3720000000.0,-3310000000.0,3070000000.0,0
00111874,1,1,005710,대원산업,125490000000.0,70520000000.0,8120000000.0,78420000000.0,42590000000.0,3779999999.0,54979999999.0,281990000000.0,-3929999999.0,2008-08-01,25560000000.0,2130.0,2130.0,0.06470635110367359,0.3624503686897334,1.841277295139704,0.9170579030125195,6.761904763693626,0.09064151211035852,-6.503816795548045,5810000000.0,2390000000.0,8470000000.0,11640000000.0,12380000000.0,0
