기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2008-매출액(수익),매출액(수익)-YoY,증자
00105280,1,1,005440,현대그린푸드,870290000000.0,648980000000.0,112620000000.0,313610000000.0,121020000000.0,49950000000.0,221310000000.0,816510000000.0,53270000000.0,33860000000.0,5000000000.0,59160000000.0,2010-08-02,914562187350.0,10550.0,10550.0,0.12940514081513058,0.07696693272519954,1.4092301570926684,2.591389852916873,0.10092260676930555,18.3095533003003,1.120086939963993,17.168428521681996,463060000000.0,0.7632920139938668,0
00105299,1,1,014280,금강공업,420020000000.0,153340000000.0,65950000000.0,212300000000.0,230940000000.0,11560000000.0,266680000000.0,458430000000.0,70050000000.0,21770000000.0,7000000000.0,54610000000.0,2010-08-02,40547299400.0,8340.0,8340.0,0.15701633255559258,0.07538802660753881,0.2644274122864223,0.9192863947345631,-1.3411497388158975,3.5075518512110726,0.08844818052919748,0.57883368165596,279440000000.0,0.6405310621242486,0
00105855,1,1,010120,엘에스일렉트릭,1358520000000.0,668840000000.0,329440000000.0,632990000000.0,439410000000.0,168650000000.0,689680000000.0,1559420000000.0,219660000000.0,169300000000.0,125000000000.0,275430000000.0,2010-08-02,2625000000000.0,87600.0,87600.0,0.24249919029532138,0.25215298128102387,3.924705460199749,1.4405452766209235,-0.021596190476190477,15.564779128372368,1.6833181567505868,11.950286806883366,1419480000000.0,0.0985853974694959,0
00105873,1,1,034220,LG디스플레이,19538190000000.0,10215890000000.0,2299000000000.0,8377530000000.0,6214490000000.0,1083650000000.0,9322300000000.0,20613570000000.0,4081310000000.0,1067240000000.0,50000000000.0,3822319999999.0,2010-08-02,12988709910000.0,36600.0,36600.0,0.11766698962391091,0.10607494794873476,1.2714222559170076,1.348063960196251,-0.07273778585759484,11.986074756609607,0.6301048246373626,3.1824855034290462,15865240000000.0,0.2992914068743997,0
00105952,1,1,006260,LS,10065250000000.0,2853170000000.0,1452380000000.0,5806330000000.0,4946220000000.0,374390000000.0,7212080000000.0,13442390000000.0,824710000000.0,510760000000.0,100000000000.0,1033010000000.0,2010-08-02,3181360000000.0,95700.0,95700.0,0.1442964655622066,0.1312189599638297,1.1150264442707585,1.173892386509294,-0.44187077224834664,8.497449184005983,0.2366662475943638,3.8575499266408797,2351930000000.0,4.715471974080861,0
00105961,1,1,011070,LG이노텍,2803850000000.0,874990000000.0,368060000000.0,1262550000000.0,1345080000000.0,51290000000.0,1928859999999.0,2971240000000.0,132109999999.0,113640000000.0,33900000000.0,251060000000.0,2010-08-02,3236327815000.0,161500.0,161500.0,0.1312695044314068,0.05861781277500314,3.69870263088721,0.938643054688197,-0.20588458218315564,63.09861210762332,1.0892179073383503,24.497220611796966,1415640000000.0,1.098866943573225,0
00106119,1,1,001570,금양,99560000000.0,42640000000.0,10830000000.0,47710000000.0,41600000000.0,1480000000.0,56910000000.0,79300000000.0,-1930000000.0,1860000000.0,2500000000.0,5570000000.0,2010-08-02,25186117120.0,635.0,635.0,0.10877862595419847,0.03470919324577861,0.5906687879924953,1.146875,-0.36528060106154225,17.017646702702702,0.31760551223203026,-13.04980161658031,55440000000.0,0.4303751803751803,0
00106313,1,1,002990,금호산업,6759910000000.0,-1120150000000.0,174910000000.0,3830219999999.0,7300070000000.0,-2366510000000.0,7880070000000.0,2324560000000.0,-147320000000.0,-13280000000.0,0.0,-2442320000000.0,2010-08-02,1631509505670.0,3340.0,3340.0,0.02587460483941354,2.1126724099450964,-1.4565098474936393,0.5246826400293422,-2.4822717771036693,-0.6894158510507034,0.7018573431832261,-11.074596155783329,2456380000000.0,-0.05366433532271064,0
00106368,1,1,011780,금호석유화학,8915490000000.0,675150000000.0,976790000000.0,2658500000000.0,6555780000000.0,-1006410000000.0,8240339999999.0,6897630000000.0,834350000000.0,110359999999.0,0.0,-480430000000.0,2010-08-02,1385632361500.0,53400.0,53400.0,0.10956100001233808,-1.49064652299489,2.052332609790417,0.405520014399507,-4.028370118287685,-1.3768070284476506,0.20088528400334607,1.660732739857374,3182490000000.0,1.1673689469566284,0
00106395,1,1,001210,금호전기,509850000000.0,304270000000.0,63379999999.0,180460000000.0,137270000000.0,11750000000.0,205580000000.0,373660000000.0,30480000000.0,24550000000.0,59500000000.0,43370000000.0,2010-08-02,310530689900.0,44500.0,44500.0,0.12431107188192606,0.03861701778026095,1.020576099845532,1.3146353901070882,-0.08089377577491416,26.428143821276596,0.831051463630038,10.188014760498687,217790000000.0,0.7156894255934616,0
00106492,1,1,004790,렉스엘이앤지,57629999999.0,43950000000.0,6409999999.0,31200000000.0,13330000000.0,-9980000000.0,13680000000.0,40990000000.0,-5710000000.0,-7459999999.0,0.0,-6040000000.0,2010-08-02,42118964820.0,830.0,830.0,0.11122679158617434,-0.22707622298065985,0.9583382211604096,2.3405851462865717,0.41596463908535347,-4.220337156312625,1.0275424449865822,-7.376351106830122,46330000000.0,-0.11526009065400389,0
00106614,1,1,092440,기신정기,182500000000.0,158520000000.0,22730000000.0,117840000000.0,20750000000.0,10800000000.0,23990000000.0,87300000000.0,8209999999.0,13050000000.0,11300000000.0,20320000000.0,2010-08-02,160308000000.0,5300.0,5300.0,0.12454794520547945,0.06813020439061317,1.0112793338380015,5.679036144578313,0.5854355365920603,14.843333333333334,1.8362886597938144,19.52594397314567,61810000000.0,0.41239281669632755,0
00106641,1,1,000270,기아자동차,25962880000000.0,7304089999999.0,6676150000000.0,11224410000000.0,12910210000000.0,1020629999999.0,18658780000000.0,29445209999999.0,4306930000000.0,1195210000000.0,25000000000.0,2638200000000.0,2010-08-02,12710083882700.0,31300.0,31300.0,0.2571421198264599,0.13973403942163085,1.74013243028245,0.869421179051309,-0.5849190350442218,12.45317488483824,0.43165200325283576,2.9510774223634932,16382229999999.0,0.7973871689019625,1
00107066,1,1,001260,남광토건,1282370000000.0,285230000000.0,82090000000.0,1042990000000.0,771580000000.0,-9540000000.0,997129999999.0,783430000000.0,-123200000000.0,32139999999.0,0.0,34100000000.0,2010-08-02,117506769030.0,3445.0,3445.0,0.06401428604848834,-0.033446692143182695,0.41197198411808017,1.3517587288421162,0.39027538906538856,-12.317271386792452,0.14999013189436197,-0.9537887096590909,669870000000.0,0.169525430307373,1
00107613,1,1,007660,이수페타시스,267510000000.0,135309999999.0,49330000000.0,156800000000.0,91850000000.0,18150000000.0,132200000000.0,292400000000.0,18070000000.0,24080000000.0,7000000000.0,38690000000.0,2010-08-02,139280843250.0,3430.0,3430.0,0.1844043213337819,0.13413642746385437,1.0293462659894268,1.7071311921611323,0.17662156134311027,7.673875661157025,0.4763366732216142,7.707849654122856,260760000000.0,0.12133762847062424,0
00107677,1,1,002070,남영비비안,153720000000.0,124909999999.0,94090000000.0,83560000000.0,22870000000.0,3479999999.0,28810000000.0,175800000000.0,4700000000.0,9290000000.0,10000000000.0,8190000000.0,2010-08-02,60918672150.0,8800.0,8800.0,0.6120869112672391,0.02786005923487199,0.4877005215794388,3.653694796676869,0.8987392217806245,17.505365565375104,0.3465225947098976,12.961419606382979,71310000000.0,1.4652923853596973,0
00108001,1,1,091590,남화토건,232450000000.0,174060000000.0,46960000000.0,94150000000.0,51190000000.0,19380000000.0,58390000000.0,177010000000.0,35320000000.0,23830000000.0,7500000000.0,34110000000.0,2010-08-02,,,,0.20202194020219402,0.11134091692519821,,1.8392264114084782,,,,,57679999999.0,2.068828016696755,0
00108038,1,1,004250,엔피씨,382530000000.0,138930000000.0,47550000000.0,107409999999.0,152530000000.0,5070000000.0,243600000000.0,276990000000.0,39780000000.0,20450000000.0,5500000000.0,78590000000.0,2010-08-02,69217200000.0,1850.0,1850.0,0.12430397615873265,0.03649319801338804,0.4982163679550853,0.7041893397954501,-1.9675745335119017,13.652307692307692,0.24989060976930574,1.74,161170000000.0,0.7186200905875784,0
