기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,GP/A,PBR,유동비율,NCAV,2006-당기순이익,2005-당기순이익,2004-당기순이익,2003-당기순이익,2002-당기순이익
00106368,1,1,011780,금호석유화학,7567050000000.0,1476540000000.0,1059770000000.0,2272100000000.0,2848340000000.0,129680000000.0,6090520000000.0,2008-10-01,971213875400.0,0.1400506141759338,0.6577633355005621,0.7976926911815303,-3.9315953949148037,87710000000.0,121409999999.0,134470000000.0,21010000000.0,10980000000.0
00106395,1,1,001210,금호전기,299400000000.0,197520000000.0,50770000000.0,105200000000.0,81410000000.0,22110000000.0,101890000000.0,2008-10-01,172901275000.0,0.16957247828991315,0.8753608495342243,1.2922245424395038,0.019143872710019057,28220000000.0,20840000000.0,13680000000.0,9220000000.0,2470000000.0
00106614,1,1,092440,기신정기,106880000000.0,95210000000.0,20930000000.0,64379999999.0,8059999999.0,10980000000.0,11670000000.0,2008-10-01,127020000000.0,0.19582709580838323,1.3341035605503624,7.987593052976128,0.4149740198315226,14330000000.0,12670000000.0,11360000000.0,10420000000.0,10320000000.0
00106641,1,1,000270,기아자동차,19461000000000.0,4542200000000.0,3817960000000.0,8369700000000.0,10420750000000.0,-172390000000.0,14918800000000.0,2008-10-01,4965395506500.0,0.19618519089460973,1.0931697209502003,0.8031763548688914,-1.3189483076276272,39340000000.0,680900000000.0,662030000000.0,752860000000.0,680410000000.0
00107613,1,1,007660,이수페타시스,223990000000.0,91660000000.0,16419999999.0,113100000000.0,112170000000.0,-700000000.0,132330000000.0,2008-10-01,45217750060.0,0.07330684405107371,0.49332042395810605,1.0082909868948917,-0.4252754720100729,-4060000000.0,2380000000.0,6700000000.0,1050000000.0,4520000000.0
00107677,1,1,002070,남영비비안,136420000000.0,108320000000.0,80900000000.0,78740000000.0,19840000000.0,8890000000.0,28100000000.0,2008-10-01,64215285750.0,0.5930215510922152,0.5928294474704578,3.96875,0.7885972850319365,4810000000.0,-11210000000.0,1100000000.0,12190000000.0,10600000000.0
00108001,1,1,091590,남화토건,146260000000.0,97620000000.0,25490000000.0,49190000000.0,43520000000.0,10790000000.0,48640000000.0,2008-10-01,,0.17427868179953507,,1.1302849264705883,,6570000000.0,5360000000.0,6640000000.0,5220000000.0,4910000000.0
00108135,1,1,005250,녹십자홀딩스,2431620000000.0,351080000000.0,203600000000.0,722750000000.0,340020000000.0,41040000000.0,2080550000000.0,2008-10-01,342841683000.0,0.08373018810504931,0.9765343596900992,2.125610258220105,-3.9604285806752384,4970000000.0,2170000000.0,5380000000.0,5230000000.0,9360000000.0
00108241,1,1,004370,농심,1587150000000.0,1025100000000.0,476689999999.0,583110000000.0,492950000000.0,103390000000.0,562060000000.0,2008-10-01,1344263882000.0,0.30034338279242667,1.3113490215588723,1.182898874125165,0.015659127855672018,112859999999.0,118670000000.0,130640000000.0,101630000000.0,80060000000.0
00108913,1,1,019680,대교,917620000000.0,659540000000.0,238119999999.0,240960000000.0,152660000000.0,46310000000.0,258080000000.0,2008-10-01,530239841000.0,0.2594973954349295,0.803954030081572,1.57840953753439,-0.03228727582543161,51450000000.0,60650000000.0,65100000000.0,60979999999.0,27539999999.0
00108940,1,1,016710,대성홀딩스,580600000000.0,204110000000.0,95040000000.0,171840000000.0,225190000000.0,11480000000.0,376500000000.0,2008-10-01,99476520000.0,0.16369273165690665,0.48736720395864974,0.7630889471113282,-2.0573699200575173,8870000000.0,15630000000.0,2170000000.0,4730000000.0,6459999999.0
00109170,1,1,004130,대덕GDS,321250000000.0,279890000000.0,21010000000.0,205519999999.0,34730000000.0,15530000000.0,41350000000.0,2008-10-01,123199675430.0,0.06540077821011674,0.4401717654435671,5.917650446271235,1.3325522118950601,12460000000.0,18620000000.0,20160000000.0,17540000000.0,25010000000.0
00109286,1,1,000490,대동공업,346820000000.0,149850000000.0,92860000000.0,174760000000.0,129830000000.0,-4850000000.0,196970000000.0,2008-10-01,76404836200.0,0.2677469580762355,0.5098754501167835,1.3460679349919125,-0.2906884054022748,1870000000.0,5020000000.0,4240000000.0,2910000000.0,-2380000000.0
00109453,1,1,067250,STX조선해양,6282000000000.0,1943640000000.0,794540000000.0,2732460000000.0,2212230000000.0,423880000000.0,4338350000000.0,2008-10-01,1569600000000.0,0.12647882839859917,0.8075569549916651,1.2351609009913074,-1.0231205402650356,41180000000.0,-6080000000.0,21020000000.0,41180000000.0,43680000000.0
00109693,1,1,000210,대림산업,6868810000000.0,3196340000000.0,1033260000000.0,4310969999999.0,2498340000000.0,502789999999.0,3672469999999.0,2008-10-01,2425560000000.0,0.1504278033604074,0.7588554409105415,1.72553375441253,0.2632381800491433,253560000000.0,342910000000.0,415500000000.0,218340000000.0,121700000000.0
00109754,1,1,005750,대림비앤코,132340000000.0,62210000000.0,15860000000.0,82190000000.0,54150000000.0,4640000000.0,70120000000.0,2008-10-01,27825000000.0,0.11984282907662082,0.44727535765954024,1.517820867959372,0.43378256963162626,2210000000.0,4690000000.0,1830000000.0,3310000000.0,8409999999.0
00109824,1,1,006570,대림통상,179710000000.0,119130000000.0,25380000000.0,105700000000.0,39950000000.0,12520000000.0,60579999999.0,2008-10-01,65086875000.0,0.14122753324801068,0.5463516746411483,2.6458072590738424,0.6932273211918686,-5120000000.0,2220000000.0,20950000000.0,600000000.0,6770000000.0
00110495,1,1,005620,대성합동지주,1320180000000.0,575210000000.0,210100000000.0,430570000000.0,332530000000.0,50060000000.0,744970000000.0,2008-10-01,480365496000.0,0.1591449650805193,0.8351132560282332,1.2948305416052688,-0.654501629734039,36180000000.0,31810000000.0,21580000000.0,22870000000.0,29150000000.0
00110583,1,1,025440,대성엘텍,152410000000.0,40220000000.0,23860000000.0,80560000000.0,107409999999.0,2580000000.0,112200000000.0,2008-10-01,15090489120.0,0.15655140738796666,0.37519863550472404,0.7500232753072342,-2.0966848555005617,1030000000.0,6850000000.0,4070000000.0,910000000.0,2030000000.0
00110893,1,1,003540,대신증권,0.0,0.0,0.0,0.0,0.0,102090000000.0,0.0,2008-10-01,911382530000.0,,inf,,0.0,157380000000.0,41230000000.0,73830000000.0,42050000000.0,13430000000.0
00111227,1,1,006580,대양제지,93190000000.0,30480000000.0,14130000000.0,26260000000.0,49790000000.0,2440000000.0,62710000000.0,2008-10-01,19332000000.0,0.1516257109131881,0.6342519685039371,0.5274151436031331,-1.8854748603351956,4640000000.0,-3500000000.0,560000000.0,-1440000000.0,4029999999.0
00111704,1,1,042660,대우조선해양,9543540000000.0,1733309999999.0,597270000000.0,6518830000000.0,6860839999999.0,279480000000.0,7810239999999.0,2008-10-01,5387649837700.0,0.06258369535832616,3.1083013642701585,0.950150418899282,-0.23969820587863333,58720000000.0,7590000000.0,241840000000.0,254230000000.0,259219999999.0
00111722,1,1,006800,미래에셋대우,0.0,0.0,0.0,0.0,0.0,444739999999.0,0.0,2008-10-01,3184189924250.0,,inf,,0.0,410420000000.0,-148940000000.0,132520000000.0,-60400000000.0,51429999999.0
00111810,1,1,003090,대웅,452460000000.0,294160000000.0,246130000000.0,263700000000.0,141070000000.0,55029999999.0,158290000000.0,2008-10-01,148001261000.0,0.5439817884453875,0.5031318364155561,1.8692847522506557,0.7122236613916418,12140000000.0,9650000000.0,7509999999.0,11970000000.0,28989999999.0
00111838,1,1,007680,대원,248610000000.0,148680000000.0,46550000000.0,190220000000.0,54640000000.0,20910000000.0,99930000000.0,2008-10-01,,0.18724106029524154,,3.481332357247438,,21610000000.0,22350000000.0,15960000000.0,10340000000.0,9550000000.0
00111847,1,1,000430,대원강업,405780000000.0,180830000000.0,56260000000.0,125300000000.0,173990000000.0,10980000000.0,224960000000.0,2008-10-01,118800000000.0,0.13864655724776973,0.6569706354034176,0.7201563308236105,-0.8388888888888889,8540000000.0,9570000000.0,20600000000.0,19530000000.0,14760000000.0
00111874,1,1,005710,대원산업,125490000000.0,70520000000.0,8120000000.0,78420000000.0,42590000000.0,3779999999.0,54979999999.0,2008-10-01,21480000000.0,0.06470635110367359,0.30459444129325014,1.841277295139704,1.0912476722998137,5810000000.0,2390000000.0,8470000000.0,11640000000.0,12380000000.0
00112165,1,1,092200,디아이씨,176910000000.0,97420000000.0,26180000000.0,104259999999.0,57929999999.0,10320000000.0,79490000000.0,2008-10-01,88970000000.0,0.14798485105420836,0.9132621638267296,1.7997583290315857,0.2784084522760481,9100000000.0,8870000000.0,8390000000.0,6970000000.0,7650000000.0
00112378,1,1,000040,KR모터스,102100000000.0,50800000000.0,18510000000.0,58020000000.0,39530000000.0,11820000000.0,51310000000.0,2008-10-01,50319459190.0,0.1812928501469148,0.9905405352362204,1.4677460156842903,0.1333480150226551,-8740000000.0,910000000.0,-18550000000.0,4140000000.0,67520000000.0
00112679,1,1,015230,대창단조,109140000000.0,44320000000.0,19120000000.0,66040000000.0,54650000000.0,3960000000.0,64820000000.0,2008-10-01,24400000000.0,0.17518783214220268,0.5505415162454874,1.2084172003659652,0.05,3310000000.0,4770000000.0,4079999999.0,1510000000.0,-930000000.0
00112970,1,1,001070,대한방직,207850000000.0,109890000000.0,12900000000.0,77930000000.0,68150000000.0,-9930000000.0,97950000000.0,2008-10-01,30210000000.0,0.06206398845321145,0.2749112749112749,1.1435069699192957,-0.6626944720291295,-4390000000.0,39110000000.0,7240000000.0,14500000000.0,20640000000.0
00113058,1,1,088350,한화생명,0.0,0.0,0.0,0.0,0.0,223950000000.0,0.0,2008-10-01,,,,,,374860000000.0,536639999999.0,614970000000.0,979450000000.0,868440000000.0
00113207,1,1,001440,대한전선,4525420000000.0,1316620000000.0,305520000000.0,1988409999999.0,1868609999999.0,120270000000.0,3208790000000.0,2008-10-01,1403115485200.0,0.0675119657401965,1.0656951020036154,1.0641118264378677,-0.8697644726136332,104400000000.0,145490000000.0,44840000000.0,43270000000.0,63270000000.0
00113234,1,1,001790,대한제당,1111850000000.0,259400000000.0,157540000000.0,711170000000.0,644020000000.0,11680000000.0,852450000000.0,2008-10-01,209212410000.0,0.1416917749696452,0.8065243253662298,1.1042669482314214,-0.6752945487315977,14240000000.0,14150000000.0,14069999999.0,6030000000.0,8440000000.0
00113243,1,1,001130,대한제분,733540000000.0,489630000000.0,93820000000.0,315550000000.0,177780000000.0,29989999999.0,243919999999.0,2008-10-01,316875000000.0,0.12790031900100882,0.6471723546351327,1.7749465631679604,0.22605128205443786,37100000000.0,6609999999.0,31170000000.0,19890000000.0,21760000000.0
00113410,1,1,000120,CJ대한통운,1635930000000.0,721670000000.0,173250000000.0,399860000000.0,326890000000.0,79740000000.0,914260000000.0,2008-10-01,3937318952000.0,0.10590306431204269,5.4558440173486495,1.223224938052556,-0.13064727706113458,-344270000000.0,47780000000.0,18860000000.0,39130000000.0,44040000000.0
00113492,1,1,004540,깨끗한나라,419750000000.0,30930000000.0,62110000000.0,102000000000.0,0.0,0.0,388820000000.0,2008-10-01,41647343700.0,0.14796902918403812,1.3465031910766245,inf,-6.886873795987138,-14800000000.0,830000000.0,1470000000.0,-10180000000.0,3860000000.0
